original_text,sampled_text,original_crits,sampled_crits,original_llm_likelihood,sampled_llm_likelihood
AI,AI,0.7488138675689697,0.7488138675689697,0.7488138675689697,0.7488138675689697
"Once there was a fluffy kitty with a penchant for playing with yarn. One day, the kitty stumbled upon a deceased mouse, promptly decided to relocate the mouse, and concluded its escapade.","Once there was a fluffy kitty with a penchant for playing with yarn. One day, the kitty stumbled upon a dead mouse, promptly decided to relocate the mouse, and concluded its escapade.",0.5070833563804626,0.46224507689476013,0.5070833563804626,0.46224507689476013
"In the story, a small kitten eagerly ventures outside to play, only to be startled by a passing car. Frightened, she returns indoors to seek comfort and solace with her mother. The tale concludes with the kitten finding safety and reassurance in her mother's embrace.","In the story, a small kittenish enthusiastically ventures outside to play, only to be startled by a passing car. Frightened, she returns indoors to seek comfort and solace with her mother. The tale concludes with the kitten finding safety and reassurance in her mother's embrace.",0.02153944782912731,0.009328428655862808,0.02153944782912731,0.009328428655862808
"Once there was a young boy named Timmy who cherished playing with a large brown box that had a lid he could open and close. One day, Timmy's mother surprised him with a new box, containing...","Once there was a young boy named Timmy who cherished playing with a large brown box that had a lid he could open and close. One day, Timmy's mother astonished him with a new box, containing...",0.17804177105426788,0.12376804649829865,0.17804177105426788,0.12376804649829865
"A little rat named Remy was delighted to find some delicious cheese one day. Eager to add to his stash, he searched around and discovered even more mouthwatering cheese. Overjoyed, Remy relished in the thought of having an abundance of delectable cheese to enjoy.","A little rodent named Remy was pleased to find some delicious cheese one day. Eager to add to his stash, he searched around and discovered even more mouthwatering cheese. Overjoyed, Remy relished in the thought of having an abundance of delectable cheese to enjoy.",0.15792612731456757,0.13863079249858856,0.15792612731456757,0.13863079249858856
"Once a lady ventured outdoors in the rain, resulting in a dampened state. Seeking refuge indoors, she settled in a chair to witness her umbrella twirl blissfully, eliciting joy within her. This simple act brought about contentment, concluding her rainy day tale.","Once a lady ventured outdoors in the rain, resulted in a dampened state. Seeking refuge indoors, she settled in a chair to witness her umbrella twirl blissfully, eliciting joy within her. This simple act brought about contentment, concluding her rainy day tale.",0.042382266372442245,0.0377265028655529,0.042382266372442245,0.0377265028655529
"A woman ventured outside during a rainy day without an umbrella, resulting in her getting wet. Disliking the feeling of being wet, she promptly returned indoors, shedding her damp attire for dry clothing. This simple act of changing into dry clothes enhanced her comfort and overall well-being.","A woman ventured outside during a rainy day without an umbrella, resulting in her getting wet. Disliking the feeling of being wet, she promptly returned indoors, shedding her damp attire for dry clothing. This simple act of changing into dry clothes enhanced her comfort and overall well-being.",0.002606572350487113,0.002606572350487113,0.002606572350487113,0.002606572350487113
"There was once a large boy named Tim who enjoyed playing outdoors in the sunshine. One day, he stumbled upon a decaying apple on the ground. Upon finding it unappetizing, he discarded it. The end.","There was once a large boy named Tim who enjoyed playing outdoors in the sunshine. One day, he stumbled upon a decayed apple on the ground. Upon finding it unappetizing, he discarded it. The end.",0.44186660647392273,0.3803567588329315,0.44186660647392273,0.3803567588329315
"A little girl once desired a box from the store and was elated when her mother purchased it for her. She spent the entire day playing with the box, bringing her joy and contentment. The story concludes with her happiness and satisfaction from her newfound possession.","A little girl once desired a box from the store and was elated when her mother purchased it for her. She spent the entire day playing with the box, bringing her joy and contentment. The story concludes with her happiness and satisfaction from her newfound possession.",0.5519179701805115,0.5519179701805115,0.5519179701805115,0.5519179701805115
"In a faraway land, lived a bald man who awoke abruptly one morning. Without hesitation, he rose from bed and gazed at his reflection in the mirror. Upon seeing his bald head, a smile crept upon his face, relishing in his baldness.","In a faraway land, lived a hairless man who awakened abruptly one morning. Without hesitation, he rose from bed and gazed at his reflection in the mirror. Upon seeing his bald head, a smile crept upon his face, relishing in his baldness.",0.05980989709496498,0.030695302411913872,0.05980989709496498,0.030695302411913872
